"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (%)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Waarde onroerende zaken/Gemiddelde woningwaarde (1 000 euro)"
"2005";"Wormerland";6,3;6,8;6,8;5,4;4,2;28,8;27,4;11,5;2,9;10,5;6,2;4,3;0,2;0,2;0,9;1,1;2;2,45;224
"2006";"Wormerland";6;6,9;6,7;5,7;4,1;27,9;27,6;12,1;3;10,6;6,1;4,4;0,2;0,2;0,9;1,1;2,1;2,43;224
"2007";"Wormerland";5,6;7;6,5;6;4,3;26,8;27,9;12,7;3,1;10,8;6,3;4,5;0,2;0,2;1;1,2;2,1;2,42;240
"2008";"Wormerland";5,2;7;6,6;6,1;4,4;26;28,2;13,3;3,2;10,9;6,2;4,7;0,1;0,2;1;1,2;2,1;2,41;252
"2009";"Wormerland";5;6,8;6,6;6,4;4,5;24,7;28,8;13,7;3,4;11;6,3;4,8;0,1;0,2;1;1,1;2,3;2,41;259
"2010";"Wormerland";5;6,4;6,7;6,6;4,7;23,6;29,5;14;3,6;11,2;6,2;5;0,2;0,2;1,1;1,1;2,4;2,4;262
"2011";"Wormerland";4,7;6,1;6,9;6,6;5,1;22,4;30;14,4;3,8;11,2;6,2;5;0,2;0,2;1,1;1,1;2,4;2,37;254
"2012";"Wormerland";4,5;5,7;7,1;6,4;5,3;21,5;30,1;15,4;3,9;11,5;6,1;5,3;0,2;0,2;1,1;1,2;2,6;2,35;246
"2013";"Wormerland";4,2;5,4;7;6,5;5,3;21,2;30,1;16,2;4,1;11,8;6,2;5,6;0,3;0,2;1,1;1,2;2,8;2,32;240
"2014";"Wormerland";4;5,2;6,9;6,4;5,6;20,7;30;16,8;4,3;11,8;6,1;5,7;0,3;0,2;1,2;1,2;2,8;2,31;217
"2015";"Wormerland";3,9;5,2;6,5;6,4;5,7;20;30,5;17,2;4,6;12,1;6,2;5,8;0,3;0,2;1,1;1,3;2,8;2,29;217
"2016";"Wormerland";3,8;5;6,2;6,8;5,6;19,4;31;17,4;4,9;12,2;6,3;5,9;0,4;0,2;1,1;1,2;3;2,28;219
"2017";"Wormerland";3,8;4,8;5,9;6,9;5,3;19,3;31,2;17,6;5,1;12,9;6,5;6,4;0,4;0,3;1,2;1,2;3,3;2,27;222
"2018";"Wormerland";4,1;4,8;5,6;6,8;5,5;18,9;31,6;17,4;5,2;13;6,3;6,7;0,5;0,3;1,2;1,3;3,4;2,27;236
"2019";"Wormerland";4,4;4,5;5,4;6,8;5,6;19,5;30,9;17,5;5,4;13,6;6,5;7,1;0,6;0,3;1,3;1,4;3,5;2,27;263
"2020";"Wormerland";4,4;4,4;5,4;6,6;5,7;19,3;30,7;17,5;6;14;6,5;7,5;0,6;0,3;1,3;1,4;3,8;2,28;295
"2021";"Wormerland";4,6;4,5;5,2;6,3;5,9;19,6;30,4;17,3;6,3;14,3;6,4;7,9;0,7;0,3;1,4;1,4;4,1;2,28;
"1995";"Woudenberg";7,2;6,9;6,6;6,9;7,7;29,9;23,7;8,4;2,7;;;;;;;;;2,78;
"1996";"Woudenberg";7,2;6,8;6,8;6,6;7,4;30,1;24;8,3;2,8;6,4;4,5;1,8;0,3;0,2;0,2;0,1;1,1;2,76;
"1997";"Woudenberg";7,4;7;6,5;6,7;6,9;30,3;24,2;8,3;2,8;6,8;4,8;2,1;0,3;0,2;0,2;0,1;1,3;2,73;113
"1998";"Woudenberg";7,5;7,2;6,4;6,5;6,2;30,7;24,3;8,6;2,5;6,8;4,5;2,3;0,3;0,2;0,2;0,1;1,5;2,71;113
"1999";"Woudenberg";7,5;7,3;6,6;6,5;5,8;30,3;24,6;8,8;2,7;6,8;4,4;2,4;0,3;0,2;0,2;0,1;1,6;2,72;114
"2000";"Woudenberg";7,3;7,4;6,7;6,4;5,6;29,7;24,9;9,4;2,7;6,9;4,3;2,5;0,3;0,2;0,2;0,1;1,7;2,68;114
"2001";"Woudenberg";7,7;7,4;6,7;6,4;5,2;29,3;25,1;9,3;2,8;7;4,4;2,5;0,3;0,3;0,2;0,1;1,6;2,69;175
"2002";"Woudenberg";7,7;7,5;6,9;6,2;5,2;29;25,1;9,7;2,8;7,3;4,5;2,8;0,4;0,3;0,2;0,1;1,8;2,68;175
"2003";"Woudenberg";7,4;7,6;7;6,1;5,3;28,6;25,1;9,9;2,8;7,3;4,4;2,8;0,3;0,3;0,2;0,2;1,8;2,65;175
"2004";"Woudenberg";7,5;7,5;7,2;6,2;5,3;28,1;25,5;10,1;2,7;7,3;4,4;2,9;0,3;0,3;0,2;0,2;1,9;2,63;176
"2005";"Woudenberg";7,3;7,5;7,3;6,4;5,1;27,6;25,6;10,5;2,8;7,4;4,4;3;0,3;0,3;0,2;0,2;2;2,64;259
"2006";"Woudenberg";6,9;7,7;7,3;6,5;5,1;27,1;25,9;10,6;2,9;7,3;4,2;3,1;0,3;0,3;0,3;0,1;2;2,64;259
"2007";"Woudenberg";6,8;7,7;7,2;6,5;4,9;26,7;26,1;11;3,1;7,4;4,3;3,1;0,3;0,3;0,2;0,1;2;2,63;279
"2008";"Woudenberg";6,7;7,6;7,4;6,5;5;26,2;26,1;11,3;3,2;7,5;4,3;3,2;0,3;0,3;0,2;0,2;2,1;2,61;296
"2009";"Woudenberg";6,4;7,8;7,2;6,6;5,1;25,6;26,4;11,5;3,3;7,7;4,4;3,4;0,3;0,3;0,2;0,2;2,3;2,6;306
"2010";"Woudenberg";6,4;7,7;7,2;6,6;5,3;25,1;26,3;12;3,4;7,8;4,2;3,6;0,3;0,3;0,2;0,2;2,5;2,57;312
"2011";"Woudenberg";6,4;7,4;7,5;6,7;5,3;24,5;26,5;12,2;3,5;7,9;4,3;3,5;0,4;0,3;0,2;0,2;2,4;2,58;307
"2012";"Woudenberg";6,4;7,2;7,7;6,5;5,4;23,8;26,5;13;3,5;8;4,4;3,7;0,4;0,3;0,2;0,2;2,6;2,58;301
"2013";"Woudenberg";6,4;6,9;7,5;6,7;5,6;23,6;26,2;13,3;3,8;8,1;4,3;3,8;0,4;0,2;0,2;0,2;2,7;2,54;287
"2014";"Woudenberg";6,5;6,6;7,6;6,5;5,7;23,3;26,1;13,5;4,1;8,3;4,4;3,9;0,4;0,3;0,2;0,2;2,7;2,55;281
"2015";"Woudenberg";6,3;6,7;7,7;6,5;5,5;22,7;26,3;13,7;4,5;8,5;4,5;4;0,5;0,2;0,2;0,2;2,8;2,54;271
"2016";"Woudenberg";6,3;6,7;7,4;6,8;5,4;22,4;26,5;14;4,6;8,7;4,5;4,2;0,5;0,2;0,2;0,2;3;2,55;263
"2017";"Woudenberg";6,3;6,7;7,2;6,9;5,3;22,4;26,7;14;4,6;9,2;4,6;4,6;0,5;0,3;0,2;0,3;3,3;2,54;275
"2018";"Woudenberg";6,5;6,7;6,9;7,1;5,4;22,5;26,3;13,9;4,7;9,8;4,6;5,2;0,6;0,3;0,3;0,3;3,6;2,55;288
"2019";"Woudenberg";6,3;6,7;6,7;7,1;5,3;22,6;26,5;14;4,7;10,1;4,6;5,5;0,7;0,3;0,3;0,3;3,9;2,55;310
"2020";"Woudenberg";6,4;6,7;6,7;7,3;5,3;22,6;26;14,2;4,8;10,6;4,8;5,9;0,7;0,4;0,3;0,4;4,1;2,54;331
"2021";"Woudenberg";6,5;6,6;6,6;7,1;5,4;23,2;25,7;14,3;4,7;10,8;4,8;6;0,7;0,4;0,3;0,4;4,1;2,55;
"1995";"Woudrichem";6,8;6,9;7;7,2;7,4;31,1;22,2;8,4;3;;;;;;;;;2,86;
"1996";"Woudrichem";6,5;6,6;7,2;7;7,1;31,2;22,7;8,6;3,2;4,4;3,4;0,9;0;0;0,2;0;0,7;2,8;
"1997";"Woudrichem";6,2;6,8;6,9;7,1;6,6;31,2;23,1;8,9;3,1;4,4;3,5;0,9;0;0;0,2;0;0,7;2,77;96
"1998";"Woudrichem";5,8;6,9;7;7,1;6,3;31,2;23,7;8,9;3,1;4,5;3,5;1;0;0;0,2;0;0,8;2,76;96
"1999";"Woudrichem";6,1;6,7;7;6,9;6,2;30,7;24,5;8,9;3,1;4,5;3,4;1;0;0;0,2;0;0,8;2,74;96
"2000";"Woudrichem";6;6,9;6,8;7;6,1;30,4;24,8;9;3,1;4,4;3,5;0,9;0;0;0,2;0;0,7;2,72;98
"2001";"Woudrichem";6,5;6,6;6,6;7;5,9;30,1;25,2;9;3,1;5,3;4;1,3;0;0;0,2;0;1,1;2,71;150
"2002";"Woudrichem";6,8;6,2;6,6;6,7;6,3;29,7;25,5;8,8;3,2;5,8;4,2;1,6;0;0,1;0,2;0;1,3;2,7;151
"2003";"Woudrichem";6,8;6,1;6,9;6,7;6,1;29,5;26,1;8,8;3;6,2;4,2;2;0;0,1;0,2;0;1,7;2,67;151
"2004";"Woudrichem";6,5;6,3;6,7;6,6;5,9;28,9;26,8;9,1;3,1;4,9;3,7;1,2;0;0,1;0,2;0;0,9;2,67;152
"2005";"Woudrichem";6,6;6,2;6,9;6,3;5,9;28,5;26,9;9,4;3,4;5;3,8;1,2;0;0,1;0,2;0;0,9;2,66;239
"2006";"Woudrichem";6,5;6,4;6,7;6,2;5,9;27,9;27,2;9,6;3,6;5;3,9;1,2;0;0,1;0,2;0;0,8;2,66;239
"2007";"Woudrichem";6,5;6,7;6,4;6,4;5,4;27,6;27,6;10;3,4;5,2;4;1,2;0,1;0,1;0,2;0;0,9;2,64;263
"2008";"Woudrichem";6,3;6,8;6,1;6,7;5,2;26,9;28;10,5;3,5;5,3;4;1,3;0,1;0,1;0,2;0;0,9;2,61;279
"2009";"Woudrichem";6,4;6,7;6,3;6,5;5,3;26,3;28,2;10,7;3,5;5,3;4,1;1,3;0,1;0,1;0,2;0;0,9;2,59;280
"2010";"Woudrichem";6,1;6,7;6,2;6,7;5,3;25,7;28,7;11,1;3,6;5,7;4,3;1,4;0,1;0,1;0,2;0;1,1;2,58;280
"2011";"Woudrichem";5,8;6,6;6,4;6,5;5,2;25;29,4;11,4;3,7;5,7;4,3;1,5;0,1;0,1;0,2;0;1,1;2,56;277
"2012";"Woudrichem";5,5;6,6;6,5;6,1;5,5;24,4;29,5;12;4;5,8;4,3;1,6;0,1;0,1;0,2;0;1,2;2,53;272
"2013";"Woudrichem";5,2;6,5;6,6;5,9;5,9;23,9;29,6;12,4;4;6,1;4,3;1,7;0,1;0,1;0,2;0;1,3;2,51;264
"2014";"Woudrichem";5;6,4;6,6;6;5,8;23,3;29,8;13,3;4;6,1;4,4;1,8;0,1;0,1;0,2;0;1,3;2,51;250
"2015";"Woudrichem";5,1;6;6,6;5,8;5,7;22,6;30,1;14;4,1;6,3;4,4;1,9;0;0,1;0,2;0,1;1,4;2,48;242
"2016";"Woudrichem";5,1;5,9;6,7;6;5,4;22,2;30;14,5;4,2;6,4;4,3;2,1;0;0,1;0,2;0;1,6;2,46;240
"2017";"Woudrichem";4,9;5,7;6,5;6,3;5;22,2;29,8;15,2;4,4;6,6;4,4;2,2;0;0,1;0,2;0;1,8;2,45;242
"2018";"Woudrichem";5,2;5,4;6,5;6,3;4,8;22,2;29,6;15,5;4,5;6,9;4,5;2,4;0,1;0,1;0,2;0;1,9;2,42;247
"2019";"Woudrichem";;;;;;;;;;;;;;;;;;;
"2020";"Woudrichem";;;;;;;;;;;;;;;;;;;
"2021";"Woudrichem";;;;;;;;;;;;;;;;;;;
"1995";"Wouw";6,5;5,9;6,3;5,6;5,8;31,5;26,2;9,5;2,6;;;;;;;;;2,65;
"1996";"Wouw";6,3;6,2;6,2;5,7;5,2;31,2;26,9;9,7;2,6;6,9;5,8;1,1;0,1;0,1;0,1;0,1;0,7;2,65;
"1997";"Wouw";;;;;;;;;;;;;;;;;;;
"1998";"Wouw";;;;;;;;;;;;;;;;;;;
"1999";"Wouw";;;;;;;;;;;;;;;;;;;
"2000";"Wouw";;;;;;;;;;;;;;;;;;;
"2001";"Wouw";;;;;;;;;;;;;;;;;;;
"2002";"Wouw";;;;;;;;;;;;;;;;;;;
"2003";"Wouw";;;;;;;;;;;;;;;;;;;
"2004";"Wouw";;;;;;;;;;;;;;;;;;;
"2005";"Wouw";;;;;;;;;;;;;;;;;;;
"2006";"Wouw";;;;;;;;;;;;;;;;;;;
"2007";"Wouw";;;;;;;;;;;;;;;;;;;
"2008";"Wouw";;;;;;;;;;;;;;;;;;;
"2009";"Wouw";;;;;;;;;;;;;;;;;;;
"2010";"Wouw";;;;;;;;;;;;;;;;;;;
"2011";"Wouw";;;;;;;;;;;;;;;;;;;
"2012";"Wouw";;;;;;;;;;;;;;;;;;;
"2013";"Wouw";;;;;;;;;;;;;;;;;;;
"2014";"Wouw";;;;;;;;;;;;;;;;;;;
"2015";"Wouw";;;;;;;;;;;;;;;;;;;
"2016";"Wouw";;;;;;;;;;;;;;;;;;;
"2017";"Wouw";;;;;;;;;;;;;;;;;;;
"2018";"Wouw";;;;;;;;;;;;;;;;;;;
"2019";"Wouw";;;;;;;;;;;;;;;;;;;
"2020";"Wouw";;;;;;;;;;;;;;;;;;;
"2021";"Wouw";;;;;;;;;;;;;;;;;;;
"1995";"Wûnseradiel";7,2;7,1;7,8;6,9;6,7;29,5;22,6;9,1;3,1;;;;;;;;;2,68;
"1996";"Wûnseradiel";7,4;7,2;7,3;7,1;6,3;29,5;23,2;9;3,1;4,9;3,8;1,1;0;0;0,1;0;1;2,65;
"1997";"Wûnseradiel";7,1;7,2;7,1;7;5,9;29,6;24;9,1;3;5;3,8;1,2;0;0;0,1;0;1;2,6;62
"1998";"Wûnseradiel";7;7,3;7;7;5,4;29,7;24,6;9;2,9;5,6;4;1,6;0;0;0,1;0;1,4;2,59;63
"1999";"Wûnseradiel";6,8;7,4;6,9;7,1;5,1;29,3;25,5;8,9;3;5,5;4,1;1,4;0;0;0,2;0,1;1,1;2,57;64
"2000";"Wûnseradiel";6,7;7,3;7,1;6,9;4,6;29,3;26,1;8,9;3,1;5,8;4,3;1,6;0;0,1;0,2;0,1;1,3;2,55;64
"2001";"Wûnseradiel";6,9;7,2;7,1;6,5;4,8;29;26,3;8,9;3,2;6,6;4,7;1,8;0;0,1;0,1;0,1;1,5;2,53;100
"2002";"Wûnseradiel";7,2;7,1;7,1;6,4;5;28,3;26,8;9,1;3,1;6,5;4,8;1,7;0;0,1;0,2;0,1;1,4;2,53;101
"2003";"Wûnseradiel";7,2;7,1;7,1;6,2;4,9;27,9;27,4;9,2;3,1;6,6;5;1,6;0;0,1;0,2;0,1;1,2;2,51;102
"2004";"Wûnseradiel";7,1;7,1;7,1;6,1;5;27,4;27,6;9,4;3,1;6,1;4,5;1,6;0;0,1;0,1;0,1;1,2;2,51;102
"2005";"Wûnseradiel";6,8;6,9;7,2;6,3;5;26,7;28,3;9,7;3,1;6;4,4;1,6;0;0,1;0,2;0,1;1,2;2,5;159
"2006";"Wûnseradiel";6,6;7;7;6,5;4,8;26,3;28,8;10;3,1;6,1;4,5;1,5;0;0,1;0,1;0,1;1,2;2,48;160
"2007";"Wûnseradiel";6,2;7,2;7;6,4;4,6;26;29,4;10;3,1;6,4;4,7;1,7;0;0,1;0,2;0,1;1,3;2,46;182
"2008";"Wûnseradiel";5,9;7,1;7;6,5;4,6;25,7;29,7;10,4;3,2;6,1;4,7;1,5;0;0,1;0,2;0;1,1;2,43;201
"2009";"Wûnseradiel";5,7;7,1;7,1;6,4;4,6;25;30,2;10,8;3,1;5,9;4,5;1,4;0;0,1;0,2;0;1,1;2,43;206
"2010";"Wûnseradiel";5,9;6,8;7;6,7;4,5;24,4;30,4;11,4;3;5,8;4,4;1,4;0;0,1;0,2;0,1;1;2,42;204
"2011";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2012";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2013";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2014";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2015";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2016";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2017";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2018";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2019";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2020";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"2021";"Wûnseradiel";;;;;;;;;;;;;;;;;;;
"1995";"Wymbritseradiel";7,6;7,6;7,5;6,6;6,4;30,6;23,1;8;2,8;;;;;;;;;2,71;
"1996";"Wymbritseradiel";7,4;7,6;7,5;6,6;6,1;30,2;23,9;8;2,7;3,9;3,2;0,6;0;0;0,1;0;0,5;2,69;
"1997";"Wymbritseradiel";7,2;7,4;7,8;6,6;5,6;30,3;24,4;8,2;2,6;4,1;3,4;0,7;0;0,1;0,1;0;0,6;2,67;62
"1998";"Wymbritseradiel";7,3;7,6;7,6;6,6;5,1;30,2;24,8;8,2;2,6;4,2;3,4;0,9;0;0;0,1;0;0,7;2,65;63
"1999";"Wymbritseradiel";7,1;7,6;7,5;6,8;4,5;29,9;25,5;8,3;2,6;4,5;3,4;1,1;0;0;0,1;0;0,9;2,64;64
"2000";"Wymbritseradiel";7,3;7,4;7,6;6,8;4,4;29,6;26;8,5;2,5;4,6;3,4;1,2;0;0;0,2;0;1;2,62;65
"2001";"Wymbritseradiel";7,2;7,3;7,7;6,8;4,5;29;26,6;8,5;2,5;4,6;3,4;1,2;0;0;0,1;0;1;2,62;113
"2002";"Wymbritseradiel";7,3;7,4;7,4;7,1;4,3;28,6;26,9;8,7;2,5;4,9;3,4;1,4;0;0,1;0,1;0;1,3;2,62;114
"2003";"Wymbritseradiel";7,4;7,4;7,3;6,9;4,4;28,1;27,1;8,9;2,6;4,9;3,5;1,4;0;0;0,1;0;1,3;2,61;116
"2004";"Wymbritseradiel";7,3;7,4;7,3;6,7;4,5;27,7;27,4;9,2;2,5;4,5;3,4;1,1;0;0,1;0,1;0;1;2,6;117
"2005";"Wymbritseradiel";7,3;7,3;7,1;6,9;4,5;27,1;27,8;9,4;2,6;4,5;3,3;1,2;0;0,1;0,1;0;1;2,58;191
"2006";"Wymbritseradiel";6,9;7,5;7,2;6,7;4,4;26,3;28,5;9,9;2,7;4,3;3,2;1,1;0;0,1;0,1;0;0,9;2,56;192
"2007";"Wymbritseradiel";6,5;7,6;7,3;6,6;4,6;25,5;29;10,2;2,6;4,3;3,3;1,1;0;0;0,1;0;0,9;2,54;212
"2008";"Wymbritseradiel";6,2;7,6;7,4;6,6;4,7;24,8;29,5;10,7;2,6;4,4;3,3;1,1;0;0;0,1;0;0,9;2,52;230
"2009";"Wymbritseradiel";6;7,6;7,4;6,6;4,4;24,5;29,7;11;2,7;4,3;3,3;1,1;0,1;0;0,1;0;0,9;2,5;239
"2010";"Wymbritseradiel";5,8;7,5;7,4;6,7;4,6;23,6;29,8;11,8;2,8;4,6;3,4;1,2;0,1;0;0,1;0;1;2,49;242
"2011";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2012";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2013";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2014";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2015";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2016";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2017";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2018";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2019";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2020";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"2021";"Wymbritseradiel";;;;;;;;;;;;;;;;;;;
"1995";"Zaanstad";6,5;5,8;5,4;5,8;7,5;32,3;23,4;10,2;3,2;;;;;;;;;2,36;
"1996";"Zaanstad";6,4;5,9;5,2;5,7;7;32,5;23,8;10,1;3,3;19,5;8,2;11,3;0,7;0,4;2,3;5,9;2;2,35;
"1997";"Zaanstad";6,3;6,1;5,3;5,6;6,5;32,7;24,1;10,1;3,3;19,9;8,3;11,7;0,7;0,4;2,4;6;2,2;2,33;63
"1998";"Zaanstad";6,3;6,1;5,4;5,5;6,1;32,7;24,4;10,2;3,3;20,4;8,3;12,1;0,7;0,4;2,5;6,2;2,3;2,33;62
"1999";"Zaanstad";6,4;6,1;5,6;5,3;5,9;32,5;24,6;10,2;3,3;20,8;8,2;12,6;0,7;0,4;2,5;6,4;2,5;2,31;63
"2000";"Zaanstad";6,4;6,2;5,6;5,3;5,7;32,3;24,9;10,2;3,4;21,3;8,3;13,1;0,8;0,4;2,6;6,5;2,8;2,31;62
"2001";"Zaanstad";6,4;6,1;5,7;5,2;5,7;32;25,1;10,2;3,5;21,7;8,3;13,4;0,8;0,5;2,6;6,6;3;2,31;114
"2002";"Zaanstad";6,4;6,1;5,9;5,2;5,7;31,7;25,3;10,2;3,5;22,3;8,4;13,9;0,9;0,5;2,7;6,8;3,2;2,3;116
"2003";"Zaanstad";6,4;6,1;5,9;5,3;5,6;31,6;25,5;10,1;3,5;23;8,5;14,5;0,9;0,5;2,7;6,9;3,5;2,29;117
"2004";"Zaanstad";6,4;6,1;5,9;5,5;5,3;31,1;25,8;10,2;3,6;23,3;8,5;14,8;1;0,5;2,8;7,1;3,5;2,29;118
"2005";"Zaanstad";6,3;6,1;6;5,5;5,2;30,6;26,1;10,4;3,7;23,5;8,5;15;1,1;0,5;2,9;7,2;3,4;2,28;176
"2006";"Zaanstad";6,2;6,2;5,9;5,6;5,2;30,2;26,3;10,5;3,8;24;8,5;15,4;1,2;0,5;2,9;7,3;3,5;2,27;176
"2007";"Zaanstad";6;6,3;5,9;5,8;5,2;29,8;26,6;10,7;3,8;24,5;8,5;15,9;1,4;0,6;3;7,3;3,6;2,25;189
"2008";"Zaanstad";5,9;6,3;5,9;5,8;5,3;29,4;26,8;10,8;3,8;25;8,6;16,4;1,5;0,6;3,1;7,4;3,8;2,24;195
"2009";"Zaanstad";5,8;6,2;5,9;5,8;5,5;28,8;27;11,1;3,9;25,7;8,8;16,9;1,7;0,6;3,1;7,5;4,1;2,24;199
"2010";"Zaanstad";5,7;6,2;5,9;5,9;5,5;28,3;27,3;11,3;3,9;26,2;8,9;17,3;1,8;0,6;3,2;7,5;4,2;2,24;200
"2011";"Zaanstad";5,7;6,1;6;5,8;5,5;27,9;27,6;11,5;3,8;26,7;9;17,8;1,9;0,6;3,3;7,6;4,4;2,24;199
"2012";"Zaanstad";5,7;5,9;6,1;5,7;5,6;27,5;27,5;12,1;3,9;27,4;9,1;18,3;2;0,6;3,4;7,6;4,6;2,23;188
"2013";"Zaanstad";5,6;5,9;6,1;5,7;5,7;27,1;27,5;12,6;3,9;27,9;9,3;18,6;2,1;0,6;3,4;7,6;4,7;2,22;187
"2014";"Zaanstad";5,5;5,7;6,1;5,8;5,7;26,8;27,6;13;3,9;28,4;9,4;18,9;2,2;0,7;3,5;7,7;4,9;2,21;177
"2015";"Zaanstad";5,5;5,6;6;5,8;5,6;26,2;27,8;13,3;4;28,9;9,6;19,3;2,3;0,7;3,5;7,7;5,1;2,21;170
"2016";"Zaanstad";5,5;5,6;6;5,9;5,6;26;28;13,5;4;29,6;9,8;19,8;2,4;0,7;3,6;7,6;5,5;2,21;175
"2017";"Zaanstad";5,5;5,6;5,8;6;5,5;25,7;28,1;13,6;4,1;30,5;10;20,4;2,6;0,7;3,6;7,7;5,8;2,21;183
"2018";"Zaanstad";5,5;5,6;5,7;6;5,6;25,6;28,1;13,8;4,1;31,3;10,3;21;2,7;0,7;3,7;7,8;6,1;2,21;201
"2019";"Zaanstad";5,5;5,5;5,7;5,9;5,7;25,6;28,1;13,9;4,2;32,3;10,6;21,6;2,9;0,7;3,7;7,9;6,5;2,21;228
"2020";"Zaanstad";5,5;5,4;5,5;5,9;5,7;25,7;27,9;14;4,4;33,3;10,9;22,3;3;0,7;3,7;8;6,9;2,2;255
"2021";"Zaanstad";5,5;5,4;5,5;5,9;5,7;25,8;27,9;14;4,4;34;11,3;22,7;3,1;0,7;3,7;8,1;7,1;2,2;
"1995";"Zaltbommel";7;6,4;6,5;6,8;7,7;31,7;23,2;8,6;2,2;;;;;;;;;2,52;
"1996";"Zaltbommel";6,9;6,5;6,2;6,7;7,2;32,2;23,4;8,8;2,1;12,7;6,1;6,6;4,6;0,2;0,4;0,1;1,3;2,52;
"1997";"Zaltbommel";7;6,3;6,2;6,6;6,8;32,4;23,7;8,9;2,1;13,1;6;7;4,6;0,2;0,5;0,1;1,6;2,49;77
"1998";"Zaltbommel";6,9;6,7;6,1;6,5;6,5;31,9;24,3;9;2,3;13,4;6,2;7,3;4,8;0,2;0,5;0,1;1,7;2,5;77
"1999";"Zaltbommel";7,6;7,2;6,7;6,7;6,2;30,8;23;9,3;2,5;7,9;4,1;3,8;2,2;0,1;0,2;0,1;1,2;2,72;82
"2000";"Zaltbommel";7,6;7,2;6,8;6,5;6;30,7;23,4;9,2;2,6;8;4;3,9;2,2;0,1;0,2;0,1;1,3;2,7;82
"2001";"Zaltbommel";7,7;7,3;6,8;6,4;5,7;30,5;23,8;9,2;2,7;8,1;4;4,1;2,3;0,2;0,2;0,1;1,4;2,7;154
