"Geslacht;""Leeftijd"";""Nationaliteit"";""Perioden"";""Regio's"";""Bevolking (aantal)"""
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Groot-Rijnmond (CR)"";1412582"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Groot-Rijnmond (CR)"";1414690"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Groot-Rijnmond (CR)"";1417821"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Groot-Rijnmond (CR)"";1403932"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Groot-Rijnmond (CR)"";1412322"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Groot-Rijnmond (CR)"";1422465"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Groot-Rijnmond (CR)"";1431245"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Groot-Rijnmond (CR)"";1441452"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Groot-Rijnmond (CR)"";1454720"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidoost-Zuid-Holland (CR)"";397794"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidoost-Zuid-Holland (CR)"";398593"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidoost-Zuid-Holland (CR)"";399315"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidoost-Zuid-Holland (CR)"";400229"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidoost-Zuid-Holland (CR)"";400908"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidoost-Zuid-Holland (CR)"";402373"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidoost-Zuid-Holland (CR)"";404109"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidoost-Zuid-Holland (CR)"";370235"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidoost-Zuid-Holland (CR)"";371970"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zeeuwsch-Vlaanderen (CR)"";106266"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zeeuwsch-Vlaanderen (CR)"";106129"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zeeuwsch-Vlaanderen (CR)"";105917"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zeeuwsch-Vlaanderen (CR)"";105684"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zeeuwsch-Vlaanderen (CR)"";105668"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zeeuwsch-Vlaanderen (CR)"";105641"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zeeuwsch-Vlaanderen (CR)"";105438"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zeeuwsch-Vlaanderen (CR)"";105499"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zeeuwsch-Vlaanderen (CR)"";105192"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Overig Zeeland (CR)"";275141"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Overig Zeeland (CR)"";274948"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Overig Zeeland (CR)"";274704"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Overig Zeeland (CR)"";275042"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Overig Zeeland (CR)"";275584"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Overig Zeeland (CR)"";275927"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Overig Zeeland (CR)"";276866"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Overig Zeeland (CR)"";277533"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Overig Zeeland (CR)"";278296"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""West-Noord-Brabant (CR)"";618563"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""West-Noord-Brabant (CR)"";620205"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""West-Noord-Brabant (CR)"";622052"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""West-Noord-Brabant (CR)"";623882"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""West-Noord-Brabant (CR)"";625319"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""West-Noord-Brabant (CR)"";627967"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""West-Noord-Brabant (CR)"";631423"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""West-Noord-Brabant (CR)"";634030"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""West-Noord-Brabant (CR)"";635904"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Midden-Noord-Brabant (CR)"";461329"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Midden-Noord-Brabant (CR)"";463038"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Midden-Noord-Brabant (CR)"";465254"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Midden-Noord-Brabant (CR)"";466683"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Midden-Noord-Brabant (CR)"";469184"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Midden-Noord-Brabant (CR)"";471737"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Midden-Noord-Brabant (CR)"";475223"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Midden-Noord-Brabant (CR)"";478957"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Midden-Noord-Brabant (CR)"";483183"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Noordoost-Noord-Brabant (CR)"";641417"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Noordoost-Noord-Brabant (CR)"";642749"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Noordoost-Noord-Brabant (CR)"";643642"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Noordoost-Noord-Brabant (CR)"";645663"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Noordoost-Noord-Brabant (CR)"";647631"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Noordoost-Noord-Brabant (CR)"";651064"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Noordoost-Noord-Brabant (CR)"";654822"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Noordoost-Noord-Brabant (CR)"";658616"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Noordoost-Noord-Brabant (CR)"";663257"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidoost-Noord-Brabant (CR)"";742377"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidoost-Noord-Brabant (CR)"";745019"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidoost-Noord-Brabant (CR)"";748326"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidoost-Noord-Brabant (CR)"";752523"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidoost-Noord-Brabant (CR)"";756615"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidoost-Noord-Brabant (CR)"";761763"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidoost-Noord-Brabant (CR)"";766818"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidoost-Noord-Brabant (CR)"";773203"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidoost-Noord-Brabant (CR)"";780611"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Noord-Limburg (CR)"";280443"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Noord-Limburg (CR)"";280418"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Noord-Limburg (CR)"";280517"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Noord-Limburg (CR)"";280552"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Noord-Limburg (CR)"";279971"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Noord-Limburg (CR)"";281514"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Noord-Limburg (CR)"";281486"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Noord-Limburg (CR)"";282067"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Noord-Limburg (CR)"";282605"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Midden-Limburg (CR)"";235418"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Midden-Limburg (CR)"";235573"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Midden-Limburg (CR)"";235335"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Midden-Limburg (CR)"";235351"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Midden-Limburg (CR)"";235429"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Midden-Limburg (CR)"";235995"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Midden-Limburg (CR)"";236687"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Midden-Limburg (CR)"";236702"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Midden-Limburg (CR)"";237412"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuid-Limburg (CR)"";607214"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuid-Limburg (CR)"";605900"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuid-Limburg (CR)"";604154"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuid-Limburg (CR)"";602038"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuid-Limburg (CR)"";600860"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuid-Limburg (CR)"";600037"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuid-Limburg (CR)"";599025"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuid-Limburg (CR)"";597368"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuid-Limburg (CR)"";597184"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Flevoland (CR)"";395525"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Flevoland (CR)"";398441"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Flevoland (CR)"";399893"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Flevoland (CR)"";401791"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Flevoland (CR)"";404068"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Flevoland (CR)"";407818"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Flevoland (CR)"";411670"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Flevoland (CR)"";416546"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Flevoland (CR)"";423021"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Oost-Groningen (CR)"";3088"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Oost-Groningen (CR)"";2772"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Oost-Groningen (CR)"";2920"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Oost-Groningen (CR)"";3614"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Oost-Groningen (CR)"";4106"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Oost-Groningen (CR)"";3414"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Oost-Groningen (CR)"";3268"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Oost-Groningen (CR)"";3629"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Oost-Groningen (CR)"";4120"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Delfzijl en omgeving (CR)"";1120"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Delfzijl en omgeving (CR)"";1111"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Delfzijl en omgeving (CR)"";1125"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Delfzijl en omgeving (CR)"";1138"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Delfzijl en omgeving (CR)"";1125"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Delfzijl en omgeving (CR)"";1291"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Delfzijl en omgeving (CR)"";1253"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Delfzijl en omgeving (CR)"";1342"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Delfzijl en omgeving (CR)"";1430"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Overig Groningen (CR)"";15128"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Overig Groningen (CR)"";16142"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Overig Groningen (CR)"";17170"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Overig Groningen (CR)"";17682"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Overig Groningen (CR)"";18558"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Overig Groningen (CR)"";20513"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Overig Groningen (CR)"";22225"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Overig Groningen (CR)"";24432"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Overig Groningen (CR)"";26007"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Noord-Friesland (CR)"";7281"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Noord-Friesland (CR)"";7230"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Noord-Friesland (CR)"";7354"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Noord-Friesland (CR)"";7333"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Noord-Friesland (CR)"";7770"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Noord-Friesland (CR)"";8624"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Noord-Friesland (CR)"";9029"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Noord-Friesland (CR)"";9550"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Noord-Friesland (CR)"";10285"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Zuidwest-Friesland (CR)"";1612"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Zuidwest-Friesland (CR)"";1682"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Zuidwest-Friesland (CR)"";2106"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Zuidwest-Friesland (CR)"";2190"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Zuidwest-Friesland (CR)"";2361"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Zuidwest-Friesland (CR)"";2998"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Zuidwest-Friesland (CR)"";3517"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Zuidwest-Friesland (CR)"";3301"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Zuidwest-Friesland (CR)"";3612"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Zuidoost-Friesland (CR)"";2991"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Zuidoost-Friesland (CR)"";3067"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Zuidoost-Friesland (CR)"";2860"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Zuidoost-Friesland (CR)"";3010"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Zuidoost-Friesland (CR)"";3193"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Zuidoost-Friesland (CR)"";3575"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Zuidoost-Friesland (CR)"";3719"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Zuidoost-Friesland (CR)"";3927"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Zuidoost-Friesland (CR)"";4205"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Noord-Drenthe (CR)"";2932"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Noord-Drenthe (CR)"";2826"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Noord-Drenthe (CR)"";2915"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Noord-Drenthe (CR)"";2952"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Noord-Drenthe (CR)"";3406"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Noord-Drenthe (CR)"";5864"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Noord-Drenthe (CR)"";5198"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Noord-Drenthe (CR)"";4212"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Noord-Drenthe (CR)"";4544"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Zuidoost-Drenthe (CR)"";3436"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Zuidoost-Drenthe (CR)"";3481"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Zuidoost-Drenthe (CR)"";3574"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Zuidoost-Drenthe (CR)"";3513"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Zuidoost-Drenthe (CR)"";3614"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Zuidoost-Drenthe (CR)"";3881"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Zuidoost-Drenthe (CR)"";4217"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Zuidoost-Drenthe (CR)"";4546"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Zuidoost-Drenthe (CR)"";4459"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Zuidwest-Drenthe (CR)"";1608"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Zuidwest-Drenthe (CR)"";1582"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Zuidwest-Drenthe (CR)"";1622"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Zuidwest-Drenthe (CR)"";1782"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Zuidwest-Drenthe (CR)"";2286"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Zuidwest-Drenthe (CR)"";2628"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Zuidwest-Drenthe (CR)"";2827"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Zuidwest-Drenthe (CR)"";3054"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Zuidwest-Drenthe (CR)"";3228"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Noord-Overijssel (CR)"";5808"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Noord-Overijssel (CR)"";5805"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Noord-Overijssel (CR)"";6162"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Noord-Overijssel (CR)"";6347"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Noord-Overijssel (CR)"";7271"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Noord-Overijssel (CR)"";7913"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Noord-Overijssel (CR)"";8873"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Noord-Overijssel (CR)"";9389"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Noord-Overijssel (CR)"";9954"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Zuidwest-Overijssel (CR)"";5523"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Zuidwest-Overijssel (CR)"";5425"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Zuidwest-Overijssel (CR)"";5229"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Zuidwest-Overijssel (CR)"";5256"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Zuidwest-Overijssel (CR)"";5383"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Zuidwest-Overijssel (CR)"";5551"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Zuidwest-Overijssel (CR)"";5832"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Zuidwest-Overijssel (CR)"";6026"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Zuidwest-Overijssel (CR)"";6333"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Twente (CR)"";20216"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Twente (CR)"";19815"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Twente (CR)"";19804"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Twente (CR)"";19639"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Twente (CR)"";20675"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Twente (CR)"";21890"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2018"";""Twente (CR)"";22908"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2019"";""Twente (CR)"";24336"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2020"";""Twente (CR)"";25873"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2012"";""Veluwe (CR)"";17279"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2013"";""Veluwe (CR)"";17603"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2014"";""Veluwe (CR)"";17376"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2015"";""Veluwe (CR)"";18047"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2016"";""Veluwe (CR)"";19387"
"Totaal mannen en vrouwen;""Totaal"";""Totaal niet-Nederlandse nationaliteit"";""2017"";""Veluwe (CR)"";21177"
