"Geslacht;""Leeftijd"";""Burgerlijke staat"";""Perioden"";""Regio's"";""Bevolking op 1 januari (aantal)"""
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Groot-Amsterdam (CR)"";1305307"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Groot-Amsterdam (CR)"";1313889"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Groot-Amsterdam (CR)"";1329572"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Groot-Amsterdam (CR)"";1344659"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Groot-Amsterdam (CR)"";1357675"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Groot-Amsterdam (CR)"";1376826"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Groot-Amsterdam (CR)"";1392695"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Het Gooi en Vechtstreek (CR)"";244480"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Het Gooi en Vechtstreek (CR)"";245042"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Het Gooi en Vechtstreek (CR)"";245117"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Het Gooi en Vechtstreek (CR)"";245109"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Het Gooi en Vechtstreek (CR)"";246497"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Het Gooi en Vechtstreek (CR)"";248324"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Het Gooi en Vechtstreek (CR)"";250692"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Het Gooi en Vechtstreek (CR)"";252974"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Het Gooi en Vechtstreek (CR)"";254970"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Het Gooi en Vechtstreek (CR)"";257075"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Agglomeratie Leiden en Bollenstreek (CR)"";407237"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Agglomeratie Leiden en Bollenstreek (CR)"";409129"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Agglomeratie Leiden en Bollenstreek (CR)"";411351"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Agglomeratie Leiden en Bollenstreek (CR)"";413101"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Agglomeratie Leiden en Bollenstreek (CR)"";415106"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Agglomeratie Leiden en Bollenstreek (CR)"";418023"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Agglomeratie Leiden en Bollenstreek (CR)"";421296"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Agglomeratie Leiden en Bollenstreek (CR)"";424657"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Agglomeratie Leiden en Bollenstreek (CR)"";427217"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Agglomeratie Leiden en Bollenstreek (CR)"";430358"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Agglomeratie 's-Gravenhage (CR)"";810849"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Agglomeratie 's-Gravenhage (CR)"";819646"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Agglomeratie 's-Gravenhage (CR)"";825018"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Agglomeratie 's-Gravenhage (CR)"";830237"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Agglomeratie 's-Gravenhage (CR)"";838015"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Agglomeratie 's-Gravenhage (CR)"";845425"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Agglomeratie 's-Gravenhage (CR)"";853987"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Agglomeratie 's-Gravenhage (CR)"";864129"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Agglomeratie 's-Gravenhage (CR)"";872211"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Agglomeratie 's-Gravenhage (CR)"";883720"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Delft en Westland (CR)"";215620"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Delft en Westland (CR)"";218880"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Delft en Westland (CR)"";220046"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Delft en Westland (CR)"";221743"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Delft en Westland (CR)"";224041"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Delft en Westland (CR)"";224867"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Delft en Westland (CR)"";226047"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Delft en Westland (CR)"";229083"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Delft en Westland (CR)"";231157"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Delft en Westland (CR)"";233311"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Oost-Zuid-Holland (CR)"";293819"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Oost-Zuid-Holland (CR)"";294376"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Oost-Zuid-Holland (CR)"";294237"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Oost-Zuid-Holland (CR)"";294815"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Oost-Zuid-Holland (CR)"";318688"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Oost-Zuid-Holland (CR)"";320758"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Oost-Zuid-Holland (CR)"";324054"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Oost-Zuid-Holland (CR)"";327821"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Oost-Zuid-Holland (CR)"";331621"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Oost-Zuid-Holland (CR)"";334617"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Groot-Rijnmond (CR)"";1404791"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Groot-Rijnmond (CR)"";1412582"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Groot-Rijnmond (CR)"";1414690"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Groot-Rijnmond (CR)"";1417821"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Groot-Rijnmond (CR)"";1403932"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Groot-Rijnmond (CR)"";1412322"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Groot-Rijnmond (CR)"";1422465"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Groot-Rijnmond (CR)"";1431245"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Groot-Rijnmond (CR)"";1441452"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Groot-Rijnmond (CR)"";1454720"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Zuidoost-Zuid-Holland (CR)"";396008"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Zuidoost-Zuid-Holland (CR)"";397794"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Zuidoost-Zuid-Holland (CR)"";398593"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Zuidoost-Zuid-Holland (CR)"";399315"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Zuidoost-Zuid-Holland (CR)"";400229"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Zuidoost-Zuid-Holland (CR)"";400908"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Zuidoost-Zuid-Holland (CR)"";402373"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Zuidoost-Zuid-Holland (CR)"";404109"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Zuidoost-Zuid-Holland (CR)"";370235"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Zuidoost-Zuid-Holland (CR)"";371970"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Zeeuwsch-Vlaanderen (CR)"";106521"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Zeeuwsch-Vlaanderen (CR)"";106266"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Zeeuwsch-Vlaanderen (CR)"";106129"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Zeeuwsch-Vlaanderen (CR)"";105917"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Zeeuwsch-Vlaanderen (CR)"";105684"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Zeeuwsch-Vlaanderen (CR)"";105668"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Zeeuwsch-Vlaanderen (CR)"";105641"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Zeeuwsch-Vlaanderen (CR)"";105438"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Zeeuwsch-Vlaanderen (CR)"";105499"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Zeeuwsch-Vlaanderen (CR)"";105192"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Overig Zeeland (CR)"";275009"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Overig Zeeland (CR)"";275141"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Overig Zeeland (CR)"";274948"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Overig Zeeland (CR)"";274704"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Overig Zeeland (CR)"";275042"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Overig Zeeland (CR)"";275584"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Overig Zeeland (CR)"";275927"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Overig Zeeland (CR)"";276866"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Overig Zeeland (CR)"";277533"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Overig Zeeland (CR)"";278296"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""West-Noord-Brabant (CR)"";616257"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""West-Noord-Brabant (CR)"";618563"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""West-Noord-Brabant (CR)"";620205"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""West-Noord-Brabant (CR)"";622052"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""West-Noord-Brabant (CR)"";623882"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""West-Noord-Brabant (CR)"";625319"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""West-Noord-Brabant (CR)"";627967"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""West-Noord-Brabant (CR)"";631423"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""West-Noord-Brabant (CR)"";634030"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""West-Noord-Brabant (CR)"";635904"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Midden-Noord-Brabant (CR)"";459483"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Midden-Noord-Brabant (CR)"";461329"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Midden-Noord-Brabant (CR)"";463038"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Midden-Noord-Brabant (CR)"";465254"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Midden-Noord-Brabant (CR)"";466683"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Midden-Noord-Brabant (CR)"";469184"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Midden-Noord-Brabant (CR)"";471737"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Midden-Noord-Brabant (CR)"";475223"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Midden-Noord-Brabant (CR)"";478957"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Midden-Noord-Brabant (CR)"";483183"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Noordoost-Noord-Brabant (CR)"";639620"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Noordoost-Noord-Brabant (CR)"";641417"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Noordoost-Noord-Brabant (CR)"";642749"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Noordoost-Noord-Brabant (CR)"";643642"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Noordoost-Noord-Brabant (CR)"";645663"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Noordoost-Noord-Brabant (CR)"";647631"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Noordoost-Noord-Brabant (CR)"";651064"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Noordoost-Noord-Brabant (CR)"";654822"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Noordoost-Noord-Brabant (CR)"";658616"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Noordoost-Noord-Brabant (CR)"";663257"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Zuidoost-Noord-Brabant (CR)"";738855"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Zuidoost-Noord-Brabant (CR)"";742377"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Zuidoost-Noord-Brabant (CR)"";745019"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Zuidoost-Noord-Brabant (CR)"";748326"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Zuidoost-Noord-Brabant (CR)"";752523"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Zuidoost-Noord-Brabant (CR)"";756615"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Zuidoost-Noord-Brabant (CR)"";761763"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Zuidoost-Noord-Brabant (CR)"";766818"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Zuidoost-Noord-Brabant (CR)"";773203"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Zuidoost-Noord-Brabant (CR)"";780611"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Noord-Limburg (CR)"";280103"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Noord-Limburg (CR)"";280443"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Noord-Limburg (CR)"";280418"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Noord-Limburg (CR)"";280517"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Noord-Limburg (CR)"";280552"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Noord-Limburg (CR)"";279971"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Noord-Limburg (CR)"";281514"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Noord-Limburg (CR)"";281486"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Noord-Limburg (CR)"";282067"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Noord-Limburg (CR)"";282605"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Midden-Limburg (CR)"";235211"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Midden-Limburg (CR)"";235418"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Midden-Limburg (CR)"";235573"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Midden-Limburg (CR)"";235335"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Midden-Limburg (CR)"";235351"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Midden-Limburg (CR)"";235429"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Midden-Limburg (CR)"";235995"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Midden-Limburg (CR)"";236687"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Midden-Limburg (CR)"";236702"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Midden-Limburg (CR)"";237412"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Zuid-Limburg (CR)"";607313"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Zuid-Limburg (CR)"";607214"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Zuid-Limburg (CR)"";605900"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Zuid-Limburg (CR)"";604154"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Zuid-Limburg (CR)"";602038"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Zuid-Limburg (CR)"";600860"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Zuid-Limburg (CR)"";600037"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Zuid-Limburg (CR)"";599025"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Zuid-Limburg (CR)"";597368"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Zuid-Limburg (CR)"";597184"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2011"";""Flevoland (CR)"";391967"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2012"";""Flevoland (CR)"";395525"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2013"";""Flevoland (CR)"";398441"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2014"";""Flevoland (CR)"";399893"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2015"";""Flevoland (CR)"";401791"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2016"";""Flevoland (CR)"";404068"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2017"";""Flevoland (CR)"";407818"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2018"";""Flevoland (CR)"";411670"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2019"";""Flevoland (CR)"";416546"
"Totaal mannen en vrouwen;""Totaal"";""Totaal burgerlijke staat"";""2020"";""Flevoland (CR)"";423021"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2011"";""Oost-Groningen (CR)"";69378"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2012"";""Oost-Groningen (CR)"";68767"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2013"";""Oost-Groningen (CR)"";67794"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2014"";""Oost-Groningen (CR)"";66791"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2015"";""Oost-Groningen (CR)"";66138"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2016"";""Oost-Groningen (CR)"";65530"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2017"";""Oost-Groningen (CR)"";64492"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2018"";""Oost-Groningen (CR)"";58541"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2019"";""Oost-Groningen (CR)"";58071"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2020"";""Oost-Groningen (CR)"";57899"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2011"";""Delfzijl en omgeving (CR)"";22307"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2012"";""Delfzijl en omgeving (CR)"";21969"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2013"";""Delfzijl en omgeving (CR)"";21676"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2014"";""Delfzijl en omgeving (CR)"";21305"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2015"";""Delfzijl en omgeving (CR)"";20968"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2016"";""Delfzijl en omgeving (CR)"";20564"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2017"";""Delfzijl en omgeving (CR)"";20255"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2018"";""Delfzijl en omgeving (CR)"";19890"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2019"";""Delfzijl en omgeving (CR)"";19587"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2020"";""Delfzijl en omgeving (CR)"";19402"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2011"";""Overig Groningen (CR)"";129937"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2012"";""Overig Groningen (CR)"";129625"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2013"";""Overig Groningen (CR)"";128919"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2014"";""Overig Groningen (CR)"";127904"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2015"";""Overig Groningen (CR)"";126735"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2016"";""Overig Groningen (CR)"";125685"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2017"";""Overig Groningen (CR)"";125173"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2018"";""Overig Groningen (CR)"";129564"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2019"";""Overig Groningen (CR)"";129072"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2020"";""Overig Groningen (CR)"";128766"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2011"";""Noord-Friesland (CR)"";137640"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2012"";""Noord-Friesland (CR)"";136877"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2013"";""Noord-Friesland (CR)"";136219"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2014"";""Noord-Friesland (CR)"";131247"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2015"";""Noord-Friesland (CR)"";130041"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2016"";""Noord-Friesland (CR)"";128796"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2017"";""Noord-Friesland (CR)"";127898"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2018"";""Noord-Friesland (CR)"";124857"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2019"";""Noord-Friesland (CR)"";124408"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2020"";""Noord-Friesland (CR)"";123927"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2011"";""Zuidwest-Friesland (CR)"";46427"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2012"";""Zuidwest-Friesland (CR)"";46145"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2013"";""Zuidwest-Friesland (CR)"";45873"
"Totaal mannen en vrouwen;""Totaal"";""Gehuwd"";""2014"";""Zuidwest-Friesland (CR)"";58380"
